05254 2007019.2596433565 384 0.000000 0.000000
05925 2007065.2597317707 430 1286.361486 1445.803274
07442 2007169.2567446760 534 42454.257398 51173.982471
07515 2007174.2612064353 539 -18121.805805 -22617.221968
07690 2007186.2582151506 551 22073.175175 26810.413589
07938 2007203.2596864931 568 1822.563693 2247.981199
08113 2007215.2566832292 580 42555.466985 51643.540247
08186 2007220.2611495487 585 -18142.456895 -22452.146214
08361 2007232.2581443982 597 22315.821265 26963.694361
08609 2007249.2595809491 614 2356.661867 2444.612953
10126 2007353.2560979514 718 43375.511012 52476.850158
10622 2008022.2588287268 752 3204.928864 3729.790113
10797 2008034.2557455671 764 43936.869768 53236.500877
10870 2008039.2601747802 769 -16649.271576 -20606.761713
11045 2008051.2570831829 781 23730.060948 28886.838959
11293 2008068.2584000926 798 3787.805823 4533.870715
13481 2008218.2545635880 948 37993.994955 45256.641972
13554 2008223.2590314236 953 -21773.070949 -27104.759929
13904 2008247.2534312038 977 59438.595789 71757.462622
14225 2008269.2596852430 999 -21419.279323 -26344.066334
14400 2008281.2568723843 1011 18820.612937 23102.875114
14575 2008293.2540431598 1023 59838.246324 72530.294658
15494 2008356.2562867361 1086 39663.698076 48226.662582
16238 2009041.2612365393 1136 -20260.078219 -24930.895616
16661 2009070.2599681134 1165 135.542062 104.196479
